geo\time	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
mt00	401.3 	398.6 	396.0 	393.0 	389.9 	383.7 	377.5 	375.2 	372.6 	370.3 
nl	16281.8 	16225.3 	16148.9 	16046.2 	15925.5 	15812.1 	15707.2 	15610.7 	15530.5 	15459.0 
nl11	574.7 	573.7 	571.7 	568.5 	564.6 	561.3 	559.0 	558.0 	558.1 	558.1 
nl12	642.5 	640.9 	638.0 	633.4 	627.5 	622.9 	619.7 	616.6 	613.5 	610.8 
nl13	482.9 	481.8 	480.0 	476.7 	472.2 	468.5 	465.9 	462.8 	459.1 	456.1 
nl21	1107.5 	1103.1 	1097.4 	1090.2 	1082.0 	1074.0 	1067.0 	1060.7 	1056.0 	1052.2 
nl22	1969.5 	1963.7 	1954.8 	1941.8 	1926.7 	1913.0 	1901.2 	1891.1 	1881.2 	1870.5 
nl23	362.9 	355.8 	346.7 	335.3 	323.1 	311.8 	299.9 	287.4 	277.2 	267.6 
nl31	1166.8 	1157.2 	1146.1 	1123.7 	1112.9 	1103.3 	1093.7 	1083.8 	1075.0 	1067.0 
nl32	2593.2 	2580.2 	2566.3 	2542.6 	2526.5 	2510.8 	2494.6 	2480.4 	2471.6 	2466.0 
nl33	3455.2 	3446.0 	3431.9 	3432.0 	3409.2 	3388.3 	3368.9 	3351.9 	3338.8 	3329.0 
nl34	379.5 	378.7 	377.8 	376.1 	373.4 	371.2 	370.3 	369.2 	367.9 	366.6 
nl41	2409.2 	2403.6 	2395.7 	2383.1 	2365.6 	2346.9 	2328.5 	2311.7 	2297.3 	2283.3 
nl42	1138.0 	1140.6 	1142.6 	1143.0 	1141.9 	1140.2 	1138.6 	1137.1 	1134.9 	1131.9 
at	8173.3 	8121.1 	8083.7 	8043.0 	8011.6 	7992.3 	7976.8 	7968.0 	7959.0 	7948.3 
at11	277.4 	276.6 	276.7 	276.4 	276.1 	276.5 	277.0 	277.4 	277.7 	277.7 
at12	1563.3 	1553.3 	1547.7 	1542.6 	1537.3 	1532.9 	1528.8 	1525.6 	1523.5 	1520.6 
at13	1612.5 	1591.2 	1573.3 	1558.3 	1551.2 	1545.4 	1541.6 	1541.5 	1540.6 	1540.8 
at21	559.5 	559.4 	560.5 	560.4 	560.1 	560.8 	561.0 	561.3 	561.7 	561.3 
at22	1194.8 	1191.0 	1190.1 	1186.3 	1182.7 	1183.1 	1183.7 	1184.3 	1185.1 	1185.8 
at31	1392.7 	1386.9 	1382.5 	1376.7 	1371.6 	1368.3 	1365.4 	1363.8 	1362.6 	1361.0 
at32	524.6 	521.7 	519.1 	516.4 	513.9 	512.0 	511.1 	510.5 	509.2 	507.5 
at33	689.1 	684.2 	679.4 	674.1 	669.5 	665.8 	662.5 	659.3 	655.5 	651.6 
at34	359.4 	356.8 	354.4 	351.7 	349.3 	347.4 	345.8 	344.4 	343.1 	342.0 
pl	38182.2 	38204.6 	38232.3 	38250.8 	38255.9 	38653.6 	38666.1 	38649.9 	38618.0 	38587.6 
pl11	2592.4 	2602.2 	2612.2 	2622.7 	2632.2 	2657.6 	2668.4 	2676.6 	2683.4 	2689.2 
pl12	5140.9 	5132.2 	5124.9 	5118.1 	5111.4 	5064.9 	5065.5 	5061.5 	5059.5 	5056.7 
pl21	3256.6 	3245.1 	3233.5 	3226.7 	3215.2 	3218.6 	3211.4 	3200.5 	3194.0 	3183.2 
pl22	4707.9 	4723.3 	4741.5 	4758.2 	4775.9 	4874.7 	4889.8 	4899.6 	4905.8 	4914.9 
pl31	2188.2 	2194.1 	2199.0 	2204.4 	2207.4 	2237.3 	2241.2 	2243.6 	2243.8 	2244.4 
pl32	2097.6 	2101.1 	2104.3 	2102.6 	2100.6 	2123.8 	2120.2 	2115.1 	2108.0 	2102.6 
pl33	1290.1 	1293.7 	1297.4 	1301.1 	1303.5 	1324.0 	1327.2 	1329.5 	1330.4 	1331.1 
pl34	1203.8 	1206.4 	1208.6 	1210.2 	1211.6 	1222.9 	1223.8 	1223.6 	1221.9 	1220.8 
pl41	3362.6 	3357.6 	3352.6 	3347.7 	3342.0 	3353.1 	3348.1 	3342.5 	3334.7 	3327.6 
pl42	1695.5 	1696.9 	1698.4 	1698.7 	1697.5 	1732.1 	1731.2 	1727.4 	1722.4 	1718.1 
pl43	1009.0 	1008.5 	1009.1 	1008.9 	1008.3 	1023.0 	1021.4 	1019.0 	1015.6 	1013.4 
pl51	2895.7 	2901.5 	2907.3 	2910.7 	2914.6 	2979.7 	2984.3 	2986.6 	2988.2 	2987.7 
pl52	1053.6 	1058.3 	1064.4 	1068.7 	1072.5 	1088.7 	1090.6 	1091.9 	1092.5 	1094.5 
pl61	2068.2 	2068.7 	2069.6 	2068.2 	2069.2 	2100.3 	2099.0 	2097.0 	2094.1 	2091.2 
pl62	1428.8 	1428.7 	1428.6 	1428.1 	1425.4 	1464.4 	1462.1 	1458.9 	1454.7 	1451.0 
pl63	2191.5 	2186.3 	2180.8 	2175.8 	2168.6 	2188.8 	2182.0 	2176.6 	2169.1 	2161.3 
pt	10502.0 	10441.1 	10368.4 	10293.0 	10225.8 	10171.9 	10129.3 	10091.1 	10057.9 	10030.4 
pt11	3719.6 	3701.9 	3679.7 	3655.7 	3632.5 	3612.4 	3594.9 	3578.5 	3563.4 	3548.9 
